weaponId,assetName,displayName,description,runtimeType,level,damage,cooldown,projectileCount,projectileSpeed,pierceCount,lifeTime,spreadAngle,bounceCount,bounceMode,auraRadius,tickInterval,orbitRadius,orbitAngularSpeed,lobGravity,spinSpeed,meleeRange,meleeArc,activeDuration,prefabPath,iconPath
orbiting_dagger,Knife,旋刃,召唤持续环绕玩家的小刀,Orbiting,5,12,0.5,3,0,0,99999,0,0,None,1,0.5,2.2,240,0,0,1,90,0.18,Assets/Prefab/Weapon/Knife.prefab,Assets/Art/Sprites/Weapon/Dagger/dagger.png
throwing_axe,Axe,飞斧,投出旋转并穿透敌人的飞斧,Lobbed,1,15,1.6,1,5,2,7,0,0,None,1,0.5,1.7,180,3,540,1,90,0.18,Assets/Prefab/Weapon/Axe.prefab,Assets/Art/Sprites/Weapon/Axe/Axe.png
throwing_axe,Axe,飞斧,投出旋转并穿透敌人的飞斧,Lobbed,2,18,1.5,1,5,2,7,0,0,None,1,0.5,1.7,180,3,540,1,90,0.18,Assets/Prefab/Weapon/Axe.prefab,Assets/Art/Sprites/Weapon/Axe/Axe.png
throwing_axe,Axe,飞斧,投出旋转并穿透敌人的飞斧,Lobbed,3,18,1.4,2,5,2,7,22,0,None,1,0.5,1.7,180,3,630,1,90,0.18,Assets/Prefab/Weapon/Axe.prefab,Assets/Art/Sprites/Weapon/Axe/Axe.png
throwing_axe,Axe,飞斧,投出旋转并穿透敌人的飞斧,Lobbed,4,22,1.3,2,5,3,7,22,0,None,1,0.5,1.7,180,3,720,1,90,0.18,Assets/Prefab/Weapon/Axe.prefab,Assets/Art/Sprites/Weapon/Axe/Axe.png
throwing_axe,Axe,飞斧,投出旋转并穿透敌人的飞斧,Lobbed,5,28,1.1,2,5,4,7,26,0,None,1,0.5,1.7,180,3,810,1,90,0.18,Assets/Prefab/Weapon/Axe.prefab,Assets/Art/Sprites/Weapon/Axe/Axe.png
umbrella_sweep,Umbrella,雨伞挥击,挥动雨伞横扫面前敌人,Melee,1,12,1,1,0,0,1,0,0,None,1,0.5,1.7,180,0,0,1.5,90,0.18,Assets/Prefab/Weapon/Umbrella.prefab,Assets/Art/Sprites/Weapon/Dagger/dagger.png
umbrella_sweep,Umbrella,雨伞挥击,挥动雨伞横扫面前敌人,Melee,2,15,1,1,0,0,1,0,0,None,1,0.5,1.7,180,0,0,1.7,90,0.18,Assets/Prefab/Weapon/Umbrella.prefab,Assets/Art/Sprites/Weapon/Dagger/dagger.png
umbrella_sweep,Umbrella,雨伞挥击,挥动雨伞横扫面前敌人,Melee,3,18,0.9,1,0,0,1,0,0,None,1,0.5,1.7,180,0,0,1.8,110,0.18,Assets/Prefab/Weapon/Umbrella.prefab,Assets/Art/Sprites/Weapon/Dagger/dagger.png
umbrella_sweep,Umbrella,雨伞挥击,挥动雨伞横扫面前敌人,Melee,4,22,0.8,1,0,0,1,0,0,None,1,0.5,1.7,180,0,0,2,125,0.2,Assets/Prefab/Weapon/Umbrella.prefab,Assets/Art/Sprites/Weapon/Dagger/dagger.png
umbrella_sweep,Umbrella,雨伞挥击,挥动雨伞横扫面前敌人,Melee,5,28,0.7,1,0,0,1,0,0,None,1,0.5,1.7,180,0,0,2.2,150,0.22,Assets/Prefab/Weapon/Umbrella.prefab,Assets/Art/Sprites/Weapon/Dagger/dagger.png
